id,original_title,title,original_language,overview,release_date,popularity,vote_average,budget,revenue,runtime,genre_names,collection,collection_name,release_year,release_month,release_day
11868,Dracula,Dracula,en,"jonathan harker attacks dracula castle, vampire travels nearby city, where preys family harker's fiancée. only may able protect dr. van helsing, harker's friend fellow-student vampires, determined destroy dracula, whatever cost.",1958-05-22,14.65,7.3,104880,3500000,82,Horror,123724.0,Dracula (Hammer) Collection,1958,5,22
9423,Virus,Virus,en,"crew american tugboat boards abandoned russian research vessel, alien life form aboard regards virus which must destroyed.",1999-01-14,14.519,5.3,75000000,30700000,99,"Action, Horror, Science Fiction",,,1999,1,14
246741,What We Do in the Shadows,What We Do in the Shadows,en,vampire housemates try cope complexities modern life show newly turned hipster some perks being undead.,2014-06-19,14.486,7.6,1600000,6263224,86,"Comedy, Horror",,,2014,6,19
9538,Scanners,Scanners,en,"extraordinary—and frighteningly destructive—telepathic abilities nabbed agents mysterious rogue corporation, discovers far only possessor such strange powers, some other “scanners” minds set world domination, while others trying stop them.",1981-01-14,14.422,6.7,4100000,14225876,103,"Horror, Science Fiction",88574.0,Scanners Collection,1981,1,14
11908,Hatchet,Hatchet,en,"group tourists new orleans haunted swamp tour find themselves stranded wilderness, evening fun spooks turns horrific nightmare.",2006-04-27,14.42,5.8,1500000,208550,84,"Comedy, Horror",124901.0,Hatchet Collection,2006,4,27
9457,Deep Rising,Deep Rising,en,"group heavily armed hijackers board luxury ocean liner south pacific ocean loot it, only do battle series large-sized, tentacled, man-eating sea creatures taken over ship first.",1998-01-30,14.3,6.2,45000000,11203026,106,"Action, Adventure, Horror, Science Fiction",,,1998,1,30
10092,Cry_Wolf,Cry_Wolf,en,"local murdered, group teenage liars create warning e-mail serial killer named “the wolf”, coming full moon. teens describe each death method wolf uses, described victims actually do start turning dead, suddenly no knows where lies end truth begins.",2005-09-16,14.284,5.8,1000000,10047674,90,"Horror, Thriller",,,2005,9,16
8851,The Blob,The Blob,en,"drive-in favorite, sci-fi classic follows teenagers steve best girl, jane, try protect hometown gelatinous alien life form engulfs everything touches. first discover substance live tell about it, steve jane witness blob destroying elderly man, then growing terrifying size. no else seen goo, policeman dave refuses believe kids without proof.",1958-09-10,14.249,6.3,110000,4000000,86,"Horror, Science Fiction",422193.0,The Blob Collection,1958,9,10
9877,Urban Legend,Urban Legend,en,college campus plagued vicious serial killer murdering students ways correspond various urban legends.,1998-09-25,14.192,5.7,14000000,72527595,100,"Horror, Thriller",52760.0,Urban Legend Collection,1998,9,25
38541,The Divide,The Divide,en,"survivors nuclear attack grouped together days basement apartment building, where fear dwindling supplies wear away dynamic.",2012-01-13,14.143,5.9,3000000,156362,112,"Horror, Science Fiction",,,2012,1,13
